Time,Rep01,Rep02,Rep03,Rep04,Rep05,Rep06,Rep07,Rep08,Rep09,Rep10
-60,3.306445349,3.356181763,2.852473894,3.095363291,3.19661026,2.938366115,3.430576956,3.073094627,2.904998188,2.879920267
-58,3.308972767,3.369905659,2.81809265,3.103130693,3.253001318,2.966200489,3.347891026,3.168732562,2.764233037,2.818380003
-56,3.305926903,3.372415079,2.925106399,3.126004262,3.278935695,2.929405642,3.505904254,3.089354207,2.780363501,2.91800178
-54,3.318500374,3.326487931,2.847903615,3.151613345,3.262736267,3.014227949,3.477448941,3.154298184,2.80876931,2.90733499
-52,3.380712499,3.415155294,2.795776552,3.181783142,3.108919286,2.91833023,3.41371937,3.089719947,2.812820902,2.885059818
-50,3.312066271,3.362025248,2.759953309,3.083593843,3.259543485,3.049532025,3.50010675,3.143418689,2.801091783,2.910952612
-48,3.304782076,3.40217783,2.877911994,3.126883094,3.135625896,2.963761411,3.551811289,3.111117482,2.839783953,2.957287267
-46,3.368841497,3.306812027,2.770476143,3.171712547,3.226536588,2.894785022,3.564915592,3.236994352,2.845097414,2.933009777
-44,3.395576277,3.370303103,2.884872255,3.099382036,3.165449164,2.995071061,3.565881791,3.107921278,2.897734804,2.900728441
-42,3.382905744,3.328398045,2.865601635,3.140394318,3.273290537,3.115059995,3.399541193,3.088172153,2.871728632,2.918135009
-40,3.279171756,3.309941204,2.859375694,3.113367864,3.250304091,2.931163966,3.590360335,3.200451961,2.929330705,2.825539145
-38,3.250228674,3.322527085,2.851208043,3.125474452,3.170872374,3.015967062,3.46208969,3.149321636,2.848510616,2.786669767
-36,3.284519772,3.362805049,2.875739068,3.116424714,3.25576512,3.055025975,3.588741986,3.048665301,2.856901811,2.875974891
-34,3.245080728,3.304772935,2.798991124,3.066485499,3.286897975,2.950849073,3.502171259,3.096630233,2.881614515,2.911903242
-32,3.302470626,3.433937188,2.955241622,3.172525306,3.299993476,2.958672964,3.530343288,3.102262287,2.869685889,2.95832883
-30,3.316089168,3.407109972,2.812326647,3.111773765,3.269983678,2.995359129,3.514038255,3.056212758,2.7604914,2.922455492
-28,3.37626815,3.354182347,2.91847733,3.165061198,3.226617696,2.984580256,3.497222098,3.068261075,2.745014998,2.866868115
-26,3.347368912,3.394209304,2.896984889,2.933230881,3.181305344,2.943968883,3.485808756,3.121472949,2.875397017,2.953043762
-24,3.325340845,3.343893626,2.893184597,3.159335407,3.173462055,2.920535754,3.483190361,3.071751576,2.923347926,2.862117834
-22,3.367733484,3.468984217,2.907523442,3.094568115,3.172202474,2.956481686,3.43165621,3.154000071,2.909358592,2.82182715
-20,3.300913272,3.331150847,2.862910022,3.157058607,3.226075775,3.021019261,3.506609212,3.092652354,2.82879877,2.876580333
-18,3.369383355,3.38980835,2.898032766,3.099852279,3.270187236,3.103675706,3.518684084,3.166404943,2.86320982,2.882273361
-16,3.367533625,3.238508021,2.853267285,3.121046474,3.272446841,2.963571879,3.477997762,3.155865247,2.846947324,2.895656235
-14,3.284845768,3.38672366,2.850785223,3.111945383,3.201002585,2.976413847,3.466537147,3.044414056,2.727039377,2.885709126
-12,3.374288442,3.301249689,2.844039147,3.102057603,3.219177529,2.955478892,3.507386496,3.220954663,2.712583487,2.900072347
-10,3.360268502,3.308214583,2.882048074,3.167941092,3.195864617,2.988785444,3.495780331,3.096250519,2.714414028,2.99313255
-8,3.272014817,3.448084206,2.876208889,3.160787811,3.274495308,3.013417118,3.598462804,3.048151085,2.842008893,2.946132746
-6,3.344181368,3.390097177,2.866135445,3.154144983,3.084042145,3.025475505,3.563173519,3.107947647,2.869662306,2.980968908
