Time,Rep01,Rep02,Rep03,Rep04,Rep05,Rep06,Rep07,Rep08,Rep09,Rep10
-60,6.685252657,6.657983593,6.412502484,6.394212776,6.602639846,,5.600225673,6.870182663,5.860029193,5.924747466
-58,6.7152425,6.606724335,6.453999055,6.401175228,6.738284819,,5.62155765,6.850082504,5.820243053,5.91878659
-56,6.773789025,6.617563509,6.496500312,6.399494102,6.623226594,,5.533349875,6.749243311,5.850881151,5.98094764
-54,6.700509689,6.621147275,6.418726002,6.353632466,6.757856067,,5.542533266,6.821360054,5.950345329,5.995135878
-52,6.716157107,6.662166094,6.533454252,6.37900075,6.736633223,,5.556834153,6.879743453,5.843010348,5.904739802
-50,6.658636999,6.70976239,6.36178974,6.302302374,6.777230826,6.592022493,5.558517068,6.828256713,5.871117268,6.012283103
-48,6.667349604,6.642065935,6.449315164,6.392708581,6.753385961,6.640498323,5.63084651,6.877432449,6.019064369,5.955457239
-46,6.70944801,6.718466731,6.441802754,6.374489671,6.695009702,6.673875283,5.584709021,6.79360589,5.825942776,5.93109203
-44,6.668795184,6.601738149,6.438414024,6.42239465,6.655122938,6.660272537,5.507529563,6.920004874,5.874134878,5.850033678
-42,6.64101509,6.641329574,6.424632711,6.492479869,6.723154004,6.668939027,5.523625944,6.886041911,5.930219952,5.962882216
-40,6.626514903,6.648476282,6.465494061,6.380139107,6.745470635,6.6484438,5.627239801,6.772611623,5.829683926,5.859609534
-38,6.667616012,6.648038002,6.491723539,6.371921652,6.667941452,6.599559317,5.671420251,6.838142443,5.797429757,5.938342566
-36,6.598972999,6.642228949,6.571112436,6.482432465,6.730671508,6.554415503,5.711160409,6.855498176,5.891275795,5.957766376
-34,6.754086061,6.63455784,6.551564966,6.263351292,6.717614396,6.640682959,5.529334069,6.871652498,5.887320918,5.803491429
-32,6.584595811,6.700377026,6.484603197,6.388777652,6.699065658,6.640665951,5.570328839,6.841934728,5.88322609,5.968449988
-30,6.71234006,6.636954818,6.467573659,6.412588204,6.754490043,6.675975437,5.548483603,6.725497098,5.885731951,6.005628582
-28,6.650316968,6.640728187,6.465233057,6.376012665,6.650146031,6.703192975,5.590327135,6.848074417,5.866009498,5.976096848
-26,6.647626488,6.674609653,6.380269123,6.357904024,6.686126644,6.648364178,5.632498275,6.907845828,5.832299837,6.009434639
-24,6.765497977,6.724410904,6.503335501,6.440699904,6.699337398,6.66059377,5.554565494,6.848395803,5.829214601,5.964126241
-22,6.756614131,6.6564522,6.541228886,6.441668083,6.598445191,6.579262125,5.64429141,6.794210799,5.932871431,5.931566974
-20,6.578777252,6.700742481,6.483969129,6.392374268,6.690438852,6.680912887,5.558129288,6.852187703,5.878282084,5.838542816
-18,6.723427117,6.707242953,6.524182539,6.478826352,6.707967356,6.649892389,5.568540171,6.830103075,5.958900061,6.019849828
-16,6.676355608,6.632790457,6.506192589,6.427197185,6.703790502,6.613104963,5.617603202,6.910014536,5.81359951,5.936792466
-14,6.617865346,6.674359508,6.504403449,6.453140013,6.739396621,6.688043604,5.634867919,6.856459567,5.800414949,6.024184675
-12,6.614493536,6.698073402,6.578498854,6.457850282,6.770833597,6.685234707,5.67163679,6.822554151,5.891578117,5.881321576
-10,6.586742608,6.691054087,6.543563515,6.500201005,6.695144452,6.607497109,5.607684088,6.865676067,5.918850251,5.956827088
-8,6.518507109,6.611946641,6.64536705,6.506423165,6.659130491,6.574517496,5.710171655,6.835404899,5.82299168,6.006602798
-6,6.605840915,6.628725931,6.539905403,6.465400816,6.717733726,6.782805367,5.659343516,6.874883099,5.957277305,5.866840629
